,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,year,term_ 60 months,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,addr_state_AL,addr_state_AR,addr_state_AZ,addr_state_CA,addr_state_CO,addr_state_CT,addr_state_DC,addr_state_DE,addr_state_FL,addr_state_GA,addr_state_HI,addr_state_ID,addr_state_IL,addr_state_IN,addr_state_KS,addr_state_KY,addr_state_LA,addr_state_MA,addr_state_MD,addr_state_ME,addr_state_MI,addr_state_MN,addr_state_MO,addr_state_MS,addr_state_MT,addr_state_NC,addr_state_ND,addr_state_NE,addr_state_NH,addr_state_NJ,addr_state_NM,addr_state_NV,addr_state_NY,addr_state_OH,addr_state_OK,addr_state_OR,addr_state_PA,addr_state_RI,addr_state_SC,addr_state_SD,addr_state_TN,addr_state_TX,addr_state_UT,addr_state_VA,addr_state_VT,addr_state_WA,addr_state_WI,addr_state_WV,addr_state_WY,initial_list_status_w,application_type_Joint App,label
731,3000.0,3000.0,3000.0,0.0839,94.55,54000.0,car,8.49,0.0,670.0,674.0,1.0,8.0,1.0,398.0,0.0,0.0,0.0,4405.0,5400.0,4.0,629.0,0.0,0.0,341.0,6.0,5.0,2.0,0.0,2.0,4.0,2.0,14.0,6.0,6.0,20.0,4.0,7.0,0.0,0.0,3.0,100.0,1.0,0.0,14371.0,4405.0,3600.0,8971.0,2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
823,12000.0,12000.0,12000.0,0.053200000000000004,361.38,39000.0,medical,3.51,0.0,770.0,774.0,0.0,15.0,0.0,6071.0,0.0,0.0,0.0,114583.0,63900.0,7.0,7639.0,0.0,0.0,142.0,11.0,11.0,1.0,0.0,4.0,4.0,10.0,13.0,3.0,14.0,18.0,4.0,15.0,0.0,0.0,2.0,100.0,0.0,0.0,180744.0,6071.0,44100.0,0.0,2016,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
827,10000.0,10000.0,10000.0,0.053200000000000004,301.15,48000.0,car,18.6,0.0,685.0,689.0,0.0,8.0,0.0,12175.0,0.0,0.0,0.0,190865.0,18500.0,2.0,23858.0,0.0,0.0,53.0,24.0,6.0,1.0,0.0,1.0,4.0,2.0,2.0,4.0,5.0,7.0,5.0,8.0,0.0,0.0,1.0,100.0,0.0,0.0,209040.0,17842.0,6500.0,10573.0,2016,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
965,10000.0,10000.0,10000.0,0.1075,326.21,90000.0,car,9.28,1.0,680.0,684.0,1.0,10.0,0.0,9749.0,0.0,0.0,0.0,25486.0,29900.0,5.0,2549.0,0.0,0.0,95.0,7.0,7.0,0.0,0.0,3.0,3.0,4.0,5.0,1.0,9.0,13.0,3.0,10.0,0.0,0.0,4.0,92.9,0.0,0.0,55960.0,25486.0,21100.0,26060.0,2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
969,2500.0,2500.0,2500.0,0.053200000000000004,75.29,85000.0,car,3.64,0.0,690.0,694.0,0.0,7.0,0.0,2359.0,0.0,0.0,0.0,227829.0,20300.0,4.0,32547.0,0.0,0.0,112.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,10.0,5.0,14.0,2.0,7.0,0.0,0.0,2.0,88.9,0.0,0.0,252712.0,10626.0,14000.0,13550.0,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
973,40000.0,40000.0,40000.0,0.0916,1274.98,110000.0,medical,24.02,0.0,735.0,739.0,2.0,19.0,0.0,15917.0,0.0,0.0,0.0,311753.0,62700.0,7.0,19485.0,0.0,0.0,150.0,3.0,3.0,4.0,0.0,1.0,1.0,5.0,11.0,27.0,13.0,27.0,1.0,19.0,0.0,0.0,4.0,96.6,0.0,0.0,408689.0,57941.0,42500.0,76750.0,2016,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
996,2500.0,2500.0,2500.0,0.1075,81.56,72000.0,medical,22.45,0.0,685.0,689.0,0.0,7.0,0.0,13800.0,0.0,0.0,0.0,186552.0,16100.0,2.0,26650.0,0.0,0.0,188.0,4.0,4.0,0.0,0.0,2.0,5.0,2.0,7.0,6.0,5.0,13.0,5.0,7.0,0.0,0.0,2.0,100.0,0.0,0.0,197917.0,186552.0,11200.0,181817.0,2016,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1012,2500.0,2500.0,2500.0,0.1075,81.56,73000.0,car,18.08,0.0,715.0,719.0,2.0,10.0,0.0,20617.0,0.0,0.0,0.0,145651.0,21400.0,2.0,14565.0,0.0,0.0,221.0,2.0,2.0,2.0,0.0,6.0,8.0,9.0,9.0,4.0,8.0,13.0,8.0,10.0,0.0,0.0,2.0,100.0,0.0,0.0,218231.0,42106.0,15000.0,23791.0,2016,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1019,15000.0,15000.0,15000.0,0.11470000000000001,494.43,43000.0,car,20.37,0.0,660.0,664.0,0.0,16.0,0.0,1743.0,0.0,0.0,4813.0,36152.0,3200.0,4.0,2410.0,0.0,0.0,166.0,21.0,8.0,0.0,2.0,1.0,3.0,1.0,5.0,22.0,5.0,14.0,3.0,16.0,0.0,0.0,1.0,88.9,0.0,0.0,47675.0,36152.0,2000.0,44475.0,2016,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1021,3600.0,3600.0,3600.0,0.0789,112.63,120000.0,medical,11.68,0.0,705.0,709.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7938.0,0.0,1.0,7938.0,0.0,0.0,267.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,16000.0,7938.0,0.0,16000.0,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1030,15525.0,15525.0,15525.0,0.2118,421.58,75585.0,medical,31.39,0.0,710.0,714.0,2.0,23.0,0.0,5742.0,0.0,0.0,0.0,180066.0,29300.0,11.0,12862.0,0.0,0.0,179.0,6.0,6.0,2.0,0.0,2.0,6.0,3.0,9.0,17.0,10.0,17.0,6.0,23.0,0.0,0.0,6.0,100.0,0.0,0.0,216903.0,37777.0,5700.0,38083.0,2016,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1120,6000.0,6000.0,5975.0,0.1999,222.96,60000.0,car,18.78,1.0,680.0,684.0,1.0,12.0,0.0,1912.0,0.0,0.0,742.0,27681.0,19400.0,6.0,2307.0,0.0,0.0,129.0,4.0,4.0,0.0,1.0,2.0,6.0,3.0,4.0,4.0,10.0,12.0,6.0,12.0,0.0,0.0,4.0,87.5,0.0,0.0,49148.0,27681.0,6300.0,29748.0,2016,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,7200.0,7200.0,7200.0,0.1075,234.87,56000.0,car,9.6,0.0,685.0,689.0,1.0,12.0,0.0,3255.0,0.0,0.0,0.0,31981.0,8800.0,8.0,2665.0,0.0,0.0,184.0,5.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,25.0,3.0,5.0,2.0,12.0,0.0,0.0,4.0,72.4,0.0,0.0,35935.0,31981.0,2800.0,27135.0,2016,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1214,12000.0,12000.0,12000.0,0.1629,423.61,112000.0,medical,10.96,1.0,660.0,664.0,1.0,20.0,1.0,1514.0,0.0,0.0,565.0,87948.0,16100.0,8.0,4397.0,0.0,0.0,141.0,0.0,0.0,13.0,1.0,5.0,6.0,7.0,10.0,19.0,8.0,13.0,6.0,20.0,0.0,0.0,3.0,94.4,1.0,0.0,104659.0,87948.0,15100.0,88559.0,2016,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1301,4800.0,4800.0,4800.0,0.1199,159.41,30000.0,car,14.4,0.0,675.0,679.0,0.0,8.0,0.0,5621.0,0.0,0.0,990.0,11392.0,18700.0,7.0,1424.0,0.0,0.0,70.0,2.0,2.0,0.0,0.0,3.0,4.0,5.0,5.0,1.0,7.0,7.0,4.0,8.0,0.0,0.0,3.0,100.0,0.0,0.0,26065.0,11392.0,14900.0,7365.0,2016,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1308,6000.0,6000.0,6000.0,0.0697,185.19,18432.0,car,5.6,0.0,790.0,794.0,0.0,4.0,0.0,3396.0,0.0,0.0,0.0,3396.0,18200.0,0.0,849.0,0.0,0.0,239.0,34.0,34.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,18200.0,3396.0,15500.0,0.0,2016,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1338,2400.0,2400.0,2400.0,0.1367,81.65,34500.0,medical,30.12,0.0,710.0,714.0,1.0,13.0,1.0,7273.0,0.0,0.0,0.0,79195.0,13300.0,6.0,7200.0,0.0,0.0,154.0,5.0,5.0,2.0,0.0,1.0,6.0,1.0,1.0,10.0,9.0,14.0,6.0,13.0,0.0,0.0,4.0,100.0,1.0,0.0,107382.0,15185.0,2200.0,28582.0,2016,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1347,4500.0,4500.0,4500.0,0.1199,149.45,37025.0,medical,6.91,0.0,685.0,689.0,1.0,3.0,0.0,3243.0,0.0,0.0,0.0,6816.0,3200.0,0.0,2272.0,0.0,0.0,49.0,44.0,44.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,27977.0,6816.0,3200.0,0.0,2016,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1540,7000.0,7000.0,7000.0,0.0839,220.62,60000.0,medical,20.72,0.0,710.0,714.0,1.0,16.0,0.0,14081.0,0.0,0.0,0.0,38233.0,38800.0,6.0,2390.0,0.0,0.0,137.0,1.0,1.0,0.0,0.0,3.0,6.0,7.0,10.0,10.0,10.0,14.0,6.0,16.0,0.0,0.0,2.0,100.0,0.0,0.0,71425.0,38233.0,34500.0,32625.0,2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1561,5000.0,5000.0,5000.0,0.1075,163.11,33000.0,car,29.27,1.0,690.0,694.0,0.0,14.0,0.0,4734.0,1.0,0.0,118.0,44550.0,29000.0,6.0,3182.0,1.0,0.0,59.0,8.0,8.0,0.0,1.0,6.0,8.0,7.0,8.0,9.0,9.0,10.0,8.0,14.0,0.0,1.0,3.0,95.0,0.0,0.0,72958.0,44550.0,25300.0,43958.0,2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1648,3000.0,3000.0,3000.0,0.053200000000000004,90.35,98235.0,car,14.38,1.0,735.0,739.0,1.0,9.0,0.0,8111.0,0.0,0.0,0.0,251445.0,17551.0,2.0,31431.0,0.0,0.0,194.0,8.0,8.0,3.0,0.0,4.0,5.0,3.0,7.0,6.0,5.0,12.0,5.0,7.0,0.0,0.0,2.0,76.2,0.0,0.0,297896.0,29146.0,15251.0,34654.0,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1691,6000.0,6000.0,6000.0,0.0916,191.25,35000.0,car,28.36,0.0,735.0,739.0,0.0,6.0,0.0,16016.0,0.0,0.0,0.0,137691.0,24800.0,2.0,22949.0,0.0,0.0,151.0,9.0,9.0,1.0,0.0,3.0,3.0,3.0,6.0,3.0,3.0,6.0,3.0,6.0,0.0,0.0,1.0,100.0,0.0,0.0,169378.0,24091.0,24800.0,17391.0,2016,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1702,29575.0,29575.0,29575.0,0.18989999999999999,1083.96,100000.0,car,27.74,0.0,675.0,679.0,0.0,10.0,0.0,22566.0,0.0,0.0,3058.0,51743.0,41100.0,5.0,5174.0,0.0,0.0,157.0,21.0,10.0,0.0,2.0,4.0,5.0,5.0,8.0,4.0,6.0,11.0,5.0,10.0,0.0,0.0,1.0,76.5,0.0,0.0,98599.0,51743.0,38600.0,51293.0,2016,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1723,8000.0,8000.0,8000.0,0.053200000000000004,240.92,90000.0,medical,14.27,0.0,775.0,779.0,0.0,8.0,0.0,876.0,0.0,0.0,0.0,333758.0,23200.0,1.0,41720.0,0.0,0.0,160.0,31.0,24.0,3.0,0.0,3.0,3.0,4.0,7.0,3.0,5.0,14.0,3.0,8.0,0.0,0.0,0.0,90.0,0.0,0.0,463869.0,15083.0,22200.0,65819.0,2016,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1776,12000.0,12000.0,12000.0,0.0975,385.8,75000.0,medical,5.97,0.0,670.0,674.0,0.0,7.0,3.0,2450.0,0.0,0.0,50.0,12202.0,10300.0,2.0,2034.0,0.0,0.0,144.0,16.0,16.0,4.0,0.0,2.0,2.0,3.0,7.0,5.0,6.0,12.0,2.0,7.0,0.0,0.0,0.0,100.0,1.0,2.0,27481.0,12202.0,4300.0,17181.0,2016,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
